Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Armenia,ARM,,5.05120786,4.935165188,4.806594838,4.670395513,4.516569408,4.35920164,4.201576612,4.038018976,3.812332473,3.489084041,3.30415629,3.318588412,3.326892838,3.328541768,3.072617963,3.630541281,4.236905924,4.293090174,2.797019197,1.254838982,1.210843436,1.196024303,1.206139991,1.340391577,1.415737564,1.356564369,1.320962093,1.099381315,2.564666,2.719279165,1.323462293,-1.578120519,-3.782263893,-3.01496444,-2.124923331,-1.294633938,-1.416523461,-1.599261989,-1.718451192,1.251219822,-0.724669832,-0.605966774,-0.6963879,-0.709017624,-0.742559282,-0.770252912,-0.788701917,-0.810902393,-0.843091445,-0.85134712,-0.714330872,-0.283580148,-0.189728201,-0.354091349,-0.348490855,-0.414956233,-0.398759026,-0.276805543,-0.108384839,0.114784996,0.213264169,0.456271083,0.988943162,
American Samoa,ASM,,3.262041129,3.650248426,3.72423665,3.792017F01,3.791107966,3.682753233,3.563561439,3.570073856,3.506616513,3.015250174,2.425399978,2.222539221,2.115272512,2.07626645,2.307154303,2.448040126,2.380578991,2.316466491,2.212642496,3.094943033,4.533411637,4.79924793,4.731048604,4.651673632,4.592978696,4.513929686,4.43629187,4.380305225,4.306798089,4.004533658,3.781488193,3.481249203,3.299797922,3.141275653,2.99405853,2.854748553,2.714048641,2.572105506,2.394700585,1.589018605,0.239953314,-0.095119203,-0.268008856,-0.382409644,-0.464037956,-0.544785193,-0.578176519,-0.624372827,-0.654988423,-0.659306822,-0.709472948,-0.836230152,-0.972509695,-1.074156233,-1.161663512,-1.249920839,-1.301316348,-1.343263683,-1.388974262,-0.89069043,-1.064024782,-1.779946123,-1.667363134,
Antigua and Barbuda,ATG,,0.104254027,-0.181381268,-0.213544233,-0.109219998,-0.031878316,-0.109374299,-0.136886314,-0.11421524,-0.096041717,-0.146526882,0.54381489,0.059229562,-0.1914836,-0.210141695,-0.105236678,0.109809674,0.392497423,0.508860707,0.600928048,0.601816242,0.464597664,0.422513915,0.460503825,0.150090524,-0.220799383,-0.256739551,-0.284065881,-0.275960472,-0.240974725,-0.178874925,0.615770988,0.514687444,0.745136932,0.809366772,0.902235668,0.966896942,0.944929139,0.78488039,0.599268425,0.55415654,0.319429448,-0.785883169,-0.956343013,-1.016656361,-0.966893817,-0.876535762,-0.779332155,-0.688584112,-0.653481661,-0.836303807,-0.879402652,0.377834203,0.224225396,0.102975094,0.022371865,0.008947345,0.013419516,0.04471872,0.102777228,0.227521233,0.329211081,0.390088708,0.454656591,
Australia,AUS,,2.493807993,2.790282524,2.261393407,2.302334838,2.292525804,2.610086223,1.462465186,1.961546446,2.288842506,2.164424882,3.571776532,2.02807808,1.716023039,2.718077645,1.415341105,1.185292023,1.306618867,1.341338024,1.257605457,1.393262294,1.734639035,1.698727446,1.334645321,1.165506158,1.29821886,1.411444637,1.486062527,1.602236149,1.657780312,1.444941615,1.239497244,0.981336449,0.739338148,0.811493536,0.960730427,1.059429602,0.927383277,0.83946685,0.93645823,0.984333804,1.123578712,1.282497609,1.293754881,1.211374539,1.35808044,1.488863154,1.968934751,2.14645819,2.202006395,1.695502161,1.527957416,1.865330137,1.838175799,1.608455102,1.554800599,1.677390128,1.767968476,1.621636321,1.607624676,1.369184749,0.2811033,1.418485976,2.596510541,
Austria,AUT,,0.693616919,0.688471401,0.719407568,0.742017957,0.725129202,0.778261603,0.82271009,0.594482374,0.420510194,0.42587062,0.512120902,0.596495457,0.569350304,0.185526977,-0.250023853,-0.161373853,0.053705672,-0.065680146,-0.155150463,0.015396241,0.213722207,-0.333003715,-0.567951938,-0.41740401,-0.364294045,-0.354093544,-0.356097125,-0.281167821,0.025989652,0.332494358,0.567072342,0.665705624,0.386303389,-0.057029695,-0.290743622,-0.314066228,-0.336146843,-0.345078398,-0.262302086,-0.220175992,-0.081625277,0.025369868,0.016674641,0.14603312,0.204609525,0.01586968,-0.160527934,-0.173990969,-0.227452142,-0.253173146,-0.158921842,0.511947896,0.919560199,1.112385233,1.44900148,1.4100618,1.020478626,0.835905515,0.817910607,0.812573161,0.855226835,1.397726478,1.450797618,
Azerbaijan,AZE,,3.24078518,2.405969869,2.386252337,2.755942005,2.419824073,2.288389559,2.00498448,1.785377441,1.694744334,2.215086963,3.025293352,2.930622273,2.770069756,2.44195639,2.067253543,1.986076285,2.011853785,2.065396795,1.889651235,1.689946037,1.793391009,1.81072866,1.823484058,1.959455307,1.91826643,1.861587426,1.907775669,1.801792721,1.382742253,0.812999167,0.755758911,0.931758773,0.934423069,0.761794041,0.565535951,0.416211303,0.369412688,0.346417135,0.696083254,1.213443781,1.165156383,1.13311843,1.145024135,1.261300756,1.404755514,1.479626007,1.515330138,2.478011081,2.452869587,1.595056682,1.734594585,1.786347912,1.778515184,1.758498053,1.726309145,1.677401514,1.56477338,1.473400152,1.47506479,1.335443211,1.110980253,0.731066864,0.829623426,
Burundi,BDI,,4.343952931,4.362845248,3.901376072,4.655840026,5.461241764,6.717336336,6.869007058,6.690549354,6.481323358,6.444759295,6.729690702,4.312143473,4.119315781,6.769159057,6.770422939,6.488824814,6.825265048,7.14821943,6.713874925,7.978381548,7.784797573,6.222318962,6.376185403,6.126659288,5.82729412,5.562136866,5.960708769,5.883633432,5.617682652,5.72349758,4.961019915,5.453884214,-0.384203072,3.410807204,8.755642891,2.818344998,2.733734327,4.655137219,4.993061874,4.657214043,5.079704358,5.398583288,5.728874459,6.28786236,6.263763969,6.1503063,6.234034856,6.667947429,7.584147093,7.212265364,6.110642855,6.092553833,6.132111925,5.922810074,4.800719201,4.256089471,4.885093689,5.55234879,5.814292464,5.435192273,5.245457418,5.227534495,5.24135189,
Belgium,BEL,,0.433816324,0.533017017,0.915794256,1.111153421,1.068246528,0.833160443,0.710896228,0.544200931,0.430541276,0.243645668,0.3238742,0.529821731,0.44952061,0.447194464,0.418186875,0.305611529,0.340996897,0.302981544,0.290728636,0.304359707,0.158681433,0.079543434,0.096555707,0.100814218,0.128864886,0.132542984,0.181015499,0.410486859,0.454674686,0.386473447,0.458708968,0.489648012,0.473469732,0.38889489,0.289038165,0.271829214,0.317332906,0.287787746,0.300301132,0.308431312,0.402615693,0.504840006,0.475187017,0.488278481,0.604479238,0.711907501,0.786651496,0.841239516,0.853791423,0.962809677,1.349117439,0.667241433,0.517369105,0.488911944,0.623385919,0.550223217,0.428116624,0.496003003,0.581271661,0.469743865,0.450342913,0.844853229,0.950384414,
Benin,BEN,,7.728126748,7.803250396,7.840422476,7.869554902,7.881373498,7.887324857,7.872636999,7.868641117,7.849422432,7.842617981,7.818357007,7.812471743,7.772478076,7.7505087,7.723674492,7.713210666,7.67024014,7.643731821,6.964655318,5.211445188,5.264311225,5.292788815,5.284938045,5.28391012,5.287002766,5.297228217,5.300777955,5.308355958,5.292838512,5.286487788,5.270226926,4.721690439,5.295532066,4.597008181,2.963883736,3.464610684,3.795544398,3.919350582,3.928428854,3.909687421,3.877930875,4.033845376,4.321936231,4.325986217,4.471530021,4.360992201,4.187437922,4.24170497,4.2063912,4.181845722,4.165819026,4.14625433,4.11372218,4.121966988,4.118333989,4.086441104,4.040370333,3.970120607,3.889088578,3.813467783,3.736215565,3.688459087,3.65892111,
Burkina Faso,BFA,,3.468176327,3.465388879,3.515090938,3.560345397,3.601592581,3.638151142,3.689967849,3.712214406,3.738228712,3.750340755,3.708063867,3.733682534,3.773574198,3.873234308,4.004424931,7.075321593,9.323866883,9.472882578,9.51686069,9.583208666,9.567522782,9.557415452,9.586368052,9.585310944,9.506707863,6.779518251,4.589137356,4.536451628,4.492900718,4.475761402,4.365273937,4.297955788,4.305220075,4.334637264,4.371226433,4.366569316,5.570356481,6.686117967,6.826761555,6.857794567,6.877329789,6.889995177,6.878693351,6.880271456,6.835662152,6.776508085,5.931416068,5.25076457,5.208545529,5.200471801,5.216380914,5.258109686,5.223016689,5.180685481,5.150649293,5.095327727,4.994461005,4.814232855,4.626429003,4.505063107,4.423546503,4.327611771,4.266786329,
